epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.802,1.05117,1.63594,1.48271,0.47992,0.42297,0.40845,0.21482,1.43674,2.20166,1.85509,0.000553496,0.000553496,0.000553496
2,118.542,1.2887,1.59242,1.65912,0.61048,0.39384,0.44925,0.25065,1.53858,2.02106,1.91256,0.00109818,0.00109818,0.00109818
3,176.154,1.30045,1.60766,1.68167,0.71399,0.58195,0.65752,0.41001,1.26555,1.51761,1.66799,0.00163187,0.00163187,0.00163187
4,233.551,1.23336,1.47922,1.61637,0.74627,0.56986,0.6603,0.41734,1.23317,1.41673,1.65879,0.00161749,0.00161749,0.00161749
5,290.856,1.16101,1.36232,1.56387,0.69944,0.49104,0.59988,0.40014,1.1827,1.51967,1.62723,0.00160099,0.00160099,0.00160099
6,348.102,1.1018,1.27554,1.51223,0.7787,0.62991,0.71777,0.48567,1.10919,1.25423,1.50916,0.00158448,0.00158448,0.00158448
7,405.315,1.06939,1.22959,1.49751,0.86202,0.6491,0.76575,0.54502,1.01437,1.1045,1.42863,0.00156798,0.00156798,0.00156798
8,462.048,1.01158,1.14333,1.44568,0.7779,0.67111,0.7465,0.52535,1.04306,1.08838,1.46317,0.00155148,0.00155148,0.00155148
9,519.352,0.99302,1.12515,1.43147,0.7758,0.63861,0.74133,0.52702,1.05267,1.11906,1.46488,0.00153497,0.00153497,0.00153497
10,576.701,0.97622,1.09113,1.41697,0.68911,0.55918,0.61451,0.43077,1.07964,1.31888,1.52315,0.00151847,0.00151847,0.00151847
11,633.867,0.94986,1.04895,1.39497,0.80839,0.69858,0.78842,0.58629,0.91385,0.92574,1.33295,0.00150197,0.00150197,0.00150197
12,691.412,0.9293,1.01008,1.37668,0.81823,0.7032,0.78905,0.59836,0.86866,0.91445,1.31371,0.00148546,0.00148546,0.00148546
13,748.76,0.90836,1.00694,1.36352,0.82158,0.71333,0.79106,0.58672,0.88309,0.89216,1.32836,0.00146896,0.00146896,0.00146896
14,805.997,0.89288,0.9715,1.35258,0.86088,0.71449,0.8133,0.60866,0.86054,0.8523,1.3088,0.00145246,0.00145246,0.00145246
15,863.297,0.86907,0.94748,1.33313,0.84474,0.72131,0.81805,0.61141,0.87228,0.8603,1.3246,0.00143595,0.00143595,0.00143595
16,920.804,0.85094,0.92892,1.32132,0.86114,0.72078,0.81824,0.60796,0.84923,0.83623,1.28128,0.00141945,0.00141945,0.00141945
17,978.385,0.86231,0.90797,1.32684,0.86393,0.73729,0.82719,0.63225,0.82912,0.79195,1.27623,0.00140295,0.00140295,0.00140295
18,1035.96,0.8493,0.89753,1.31123,0.8087,0.69882,0.78462,0.58365,0.86669,0.87219,1.31426,0.00138644,0.00138644,0.00138644
19,1093.25,0.83546,0.88385,1.30956,0.84172,0.71028,0.80763,0.60992,0.85215,0.85083,1.2952,0.00136994,0.00136994,0.00136994
20,1150.58,0.81899,0.87327,1.29441,0.85486,0.71128,0.81585,0.61985,0.80935,0.79854,1.2679,0.00135344,0.00135344,0.00135344
21,1207.91,0.80119,0.83856,1.27947,0.88378,0.74742,0.8489,0.65297,0.77284,0.73365,1.22133,0.00133693,0.00133693,0.00133693
22,1265.35,0.81234,0.83575,1.28857,0.84662,0.74527,0.83732,0.64376,0.80392,0.756,1.24259,0.00132043,0.00132043,0.00132043
23,1322.66,0.7924,0.82378,1.26658,0.86668,0.72635,0.82382,0.62199,0.81746,0.79217,1.27136,0.00130393,0.00130393,0.00130393
24,1380.12,0.77804,0.78775,1.25914,0.84179,0.73692,0.8241,0.63928,0.77555,0.73073,1.22735,0.00128742,0.00128742,0.00128742
25,1437.61,0.78816,0.81091,1.26897,0.88618,0.73705,0.84333,0.65722,0.75875,0.72249,1.19711,0.00127092,0.00127092,0.00127092
26,1495.2,0.76989,0.78118,1.24991,0.8844,0.75458,0.84929,0.67326,0.73096,0.68488,1.19296,0.00125442,0.00125442,0.00125442
27,1552.54,0.74867,0.76572,1.22615,0.8403,0.78227,0.85241,0.66716,0.72955,0.68523,1.19144,0.00123791,0.00123791,0.00123791
28,1610.09,0.75331,0.75985,1.23638,0.83586,0.78022,0.84615,0.6626,0.76446,0.67809,1.22142,0.00122141,0.00122141,0.00122141
29,1667.4,0.73484,0.74583,1.22162,0.8424,0.76959,0.84015,0.65872,0.76008,0.71719,1.22018,0.00120491,0.00120491,0.00120491
30,1724.69,0.74479,0.76178,1.23362,0.91635,0.74525,0.85106,0.68726,0.71296,0.67457,1.17794,0.0011884,0.0011884,0.0011884
31,1782.2,0.7297,0.72047,1.21862,0.87193,0.75924,0.84986,0.67909,0.72121,0.68476,1.18009,0.0011719,0.0011719,0.0011719
32,1839.46,0.71339,0.7256,1.20642,0.87784,0.77826,0.85747,0.67885,0.71913,0.66644,1.18288,0.0011554,0.0011554,0.0011554
33,1896.84,0.70423,0.69377,1.19446,0.86733,0.75978,0.84091,0.66254,0.73871,0.677,1.22067,0.00113889,0.00113889,0.00113889
34,1954.07,0.70835,0.69982,1.20831,0.89064,0.77612,0.85827,0.68064,0.72711,0.65731,1.19066,0.00112239,0.00112239,0.00112239
35,2011.46,0.69747,0.6862,1.19484,0.87405,0.78455,0.86283,0.6943,0.68392,0.63159,1.1603,0.00110589,0.00110589,0.00110589
36,2068.98,0.69501,0.6867,1.18493,0.88861,0.77076,0.8555,0.697,0.67189,0.63031,1.14278,0.00108938,0.00108938,0.00108938
37,2126.39,0.68147,0.66579,1.17882,0.87931,0.78045,0.85715,0.69381,0.68921,0.63185,1.15956,0.00107288,0.00107288,0.00107288
38,2183.68,0.68242,0.68059,1.1786,0.88912,0.78478,0.86409,0.69809,0.67684,0.62209,1.15695,0.00105638,0.00105638,0.00105638
39,2241.03,0.68007,0.67191,1.18013,0.85969,0.78385,0.85101,0.69216,0.6837,0.62385,1.16083,0.00103987,0.00103987,0.00103987
40,2298.25,0.67787,0.66662,1.17649,0.91749,0.76825,0.86356,0.69436,0.67744,0.61256,1.15214,0.00102337,0.00102337,0.00102337
41,2355.51,0.67205,0.64919,1.16841,0.9035,0.77263,0.85426,0.69618,0.67968,0.63529,1.16632,0.00100687,0.00100687,0.00100687
42,2412.77,0.64337,0.63502,1.15419,0.89463,0.77154,0.85608,0.69729,0.66924,0.61347,1.13872,0.000990365,0.000990365,0.000990365
43,2470.17,0.65373,0.64075,1.15624,0.88373,0.78491,0.8628,0.70167,0.66176,0.59682,1.14226,0.000973861,0.000973861,0.000973861
44,2527.26,0.66569,0.62889,1.16601,0.88927,0.79248,0.86555,0.71118,0.66236,0.58552,1.14284,0.000957358,0.000957358,0.000957358
45,2584.48,0.64181,0.6141,1.15454,0.84963,0.79512,0.85661,0.69463,0.68303,0.62028,1.156,0.000940855,0.000940855,0.000940855
46,2641.58,0.64354,0.60644,1.15059,0.90765,0.77478,0.85972,0.70249,0.67108,0.57937,1.15641,0.000924352,0.000924352,0.000924352
47,2698.81,0.64473,0.62008,1.15205,0.88055,0.78288,0.85977,0.70512,0.66356,0.59807,1.14618,0.000907848,0.000907848,0.000907848
48,2755.87,0.62665,0.6009,1.13603,0.89137,0.77842,0.86752,0.71328,0.65374,0.57721,1.14562,0.000891345,0.000891345,0.000891345
49,2813.12,0.63093,0.59983,1.1408,0.88773,0.79911,0.8686,0.71837,0.63312,0.57003,1.1292,0.000874842,0.000874842,0.000874842
50,2870.44,0.61716,0.58144,1.13064,0.90035,0.78703,0.86078,0.7099,0.63963,0.59343,1.13442,0.000858338,0.000858338,0.000858338
51,2927.63,0.61717,0.57968,1.12745,0.88684,0.79105,0.86505,0.71087,0.64366,0.58143,1.14312,0.000841835,0.000841835,0.000841835
52,2984.81,0.61304,0.59424,1.12806,0.90688,0.7868,0.87565,0.72548,0.63999,0.56949,1.13783,0.000825332,0.000825332,0.000825332
53,3041.97,0.60513,0.57297,1.12889,0.89806,0.77257,0.86298,0.71324,0.64031,0.58898,1.13126,0.000808828,0.000808828,0.000808828
54,3099.1,0.60848,0.57113,1.1214,0.89861,0.79013,0.85669,0.70792,0.65088,0.57878,1.14985,0.000792325,0.000792325,0.000792325
55,3156.14,0.5954,0.55831,1.10992,0.89056,0.78965,0.8705,0.72299,0.63469,0.57874,1.13205,0.000775822,0.000775822,0.000775822
56,3213.29,0.5783,0.55681,1.10436,0.90895,0.77912,0.86758,0.71966,0.63105,0.58073,1.12893,0.000759318,0.000759318,0.000759318
57,3270.36,0.58333,0.54038,1.10575,0.90744,0.78546,0.86285,0.71811,0.62729,0.57399,1.13408,0.000742815,0.000742815,0.000742815
58,3327.55,0.58339,0.54606,1.10075,0.88493,0.7969,0.86813,0.72436,0.62209,0.55505,1.13397,0.000726312,0.000726312,0.000726312
59,3384.77,0.58631,0.54302,1.1045,0.90052,0.77719,0.86832,0.72011,0.62945,0.56226,1.14421,0.000709809,0.000709809,0.000709809
60,3441.99,0.57539,0.53692,1.10245,0.90111,0.79013,0.86861,0.72133,0.62747,0.55587,1.14404,0.000693305,0.000693305,0.000693305
61,3499.34,0.58138,0.52956,1.10381,0.90751,0.7897,0.86994,0.73025,0.62044,0.55411,1.13397,0.000676802,0.000676802,0.000676802
62,3556.68,0.57026,0.52429,1.0911,0.89333,0.79464,0.86837,0.71614,0.63433,0.55678,1.14361,0.000660299,0.000660299,0.000660299
63,3613.93,0.56191,0.52114,1.08854,0.88559,0.80162,0.86883,0.71827,0.62976,0.55957,1.14046,0.000643795,0.000643795,0.000643795
64,3671.01,0.5545,0.51613,1.08156,0.90183,0.7925,0.86862,0.72356,0.62312,0.54703,1.13237,0.000627292,0.000627292,0.000627292
65,3728.03,0.54215,0.49333,1.0774,0.92364,0.77753,0.86368,0.72207,0.61754,0.56662,1.13381,0.000610789,0.000610789,0.000610789
66,3785.14,0.5496,0.50048,1.07663,0.8696,0.82085,0.87214,0.73023,0.60629,0.53946,1.12059,0.000594286,0.000594286,0.000594286
67,3842.36,0.54809,0.49904,1.08397,0.91849,0.78375,0.86931,0.72738,0.60661,0.56056,1.12475,0.000577782,0.000577782,0.000577782
68,3899.57,0.54277,0.48894,1.07704,0.89794,0.79109,0.8669,0.72612,0.60898,0.54343,1.13365,0.000561279,0.000561279,0.000561279
69,3956.69,0.53169,0.49328,1.0696,0.90284,0.79191,0.86183,0.72168,0.61322,0.55832,1.13926,0.000544776,0.000544776,0.000544776
70,4013.85,0.52484,0.48543,1.06007,0.91058,0.78756,0.86585,0.72735,0.59547,0.55591,1.12248,0.000528272,0.000528272,0.000528272
71,4070.87,0.52406,0.47674,1.06932,0.88339,0.81126,0.86243,0.72596,0.60092,0.54355,1.12639,0.000511769,0.000511769,0.000511769
72,4127.86,0.52849,0.4695,1.05905,0.9168,0.7716,0.86284,0.72537,0.59816,0.55332,1.12384,0.000495266,0.000495266,0.000495266
73,4184.89,0.51205,0.46722,1.05272,0.90938,0.79239,0.86494,0.7264,0.60451,0.54717,1.12824,0.000478762,0.000478762,0.000478762
74,4242.04,0.52415,0.47823,1.05696,0.91279,0.79611,0.86941,0.73149,0.5956,0.54678,1.1221,0.000462259,0.000462259,0.000462259
75,4299.27,0.50994,0.4589,1.05049,0.8945,0.79405,0.86041,0.72279,0.60261,0.55271,1.13175,0.000445756,0.000445756,0.000445756
76,4356.44,0.52463,0.45656,1.05952,0.89407,0.7982,0.86328,0.72618,0.61232,0.56621,1.14285,0.000429253,0.000429253,0.000429253
77,4413.59,0.5109,0.46018,1.05475,0.91244,0.79128,0.86849,0.73145,0.59961,0.55345,1.13239,0.000412749,0.000412749,0.000412749
78,4470.71,0.50982,0.4519,1.05143,0.91084,0.78202,0.86817,0.73142,0.60681,0.5431,1.13597,0.000396246,0.000396246,0.000396246
79,4527.81,0.49764,0.43972,1.04451,0.89137,0.8115,0.86848,0.72856,0.59168,0.53622,1.1272,0.000379743,0.000379743,0.000379743
80,4584.82,0.49386,0.44399,1.03913,0.90482,0.79073,0.86168,0.7264,0.59485,0.54159,1.14081,0.000363239,0.000363239,0.000363239
81,4641.99,0.49849,0.44073,1.0429,0.91162,0.7857,0.86599,0.73101,0.58942,0.53985,1.12688,0.000346736,0.000346736,0.000346736
82,4699.04,0.49244,0.42593,1.03985,0.91286,0.78699,0.86496,0.72903,0.59665,0.53585,1.12806,0.000330233,0.000330233,0.000330233
83,4756.3,0.49489,0.43497,1.04233,0.90907,0.78551,0.86848,0.73267,0.59087,0.54855,1.11601,0.000313729,0.000313729,0.000313729
