sekunda,liczba_klatek,suma_wykrytych_kur,suma_wykrytych_nie_kur,klatki_otwarte,klatki_zamkniete
0,30,124,7,23,7
1,30,72,4,24,6
2,30,40,2,18,12
3,30,25,2,15,15
4,30,34,2,21,9
5,30,12,22,3,27
6,30,3,9,2,28
7,30,35,9,20,10
8,30,18,2,15,15
9,30,41,3,20,10
10,30,49,0,30,0
11,30,22,8,17,13
12,30,18,2,13,17
13,23,46,3,20,3
