frame,czas_s,kury,nie_kury,drzwi
265,8.800,0,0,0
266,8.833,0,0,0
267,8.867,1,1,0
268,8.900,0,0,0
269,8.933,0,0,0
270,8.967,0,0,0
271,9.000,1,0,1
272,9.033,0,0,0
273,9.067,0,0,0
274,9.100,1,0,1
275,9.133,2,0,1
276,9.167,2,1,0
277,9.200,2,1,0
278,9.233,3,0,1
279,9.267,3,0,1
280,9.300,2,0,1
281,9.333,4,0,1
282,9.367,2,0,1
283,9.400,1,0,1
284,9.433,1,0,1
285,9.467,3,0,1
286,9.500,3,0,1
287,9.533,2,0,1
288,9.567,0,0,0
289,9.600,1,0,1
290,9.633,1,0,1
291,9.667,0,0,0
292,9.700,1,0,1
293,9.733,0,0,0
294,9.767,0,0,0
295,9.800,0,0,0
296,9.833,1,1,0
297,9.867,2,0,1
298,9.900,1,0,1
299,9.933,1,0,1
300,9.967,1,0,1
301,10.000,1,0,1
302,10.033,2,0,1
303,10.067,3,0,1
304,10.100,2,0,1
305,10.133,2,0,1
306,10.167,2,0,1
307,10.200,1,0,1
308,10.233,1,0,1
309,10.267,1,0,1
310,10.300,1,0,1
311,10.333,1,0,1
312,10.367,2,0,1
313,10.400,3,0,1
314,10.433,2,0,1
315,10.467,2,0,1
316,10.500,2,0,1
317,10.533,2,0,1
318,10.567,2,0,1
319,10.600,2,0,1
320,10.633,2,0,1
321,10.667,2,0,1
322,10.700,1,0,1
323,10.733,1,0,1
324,10.767,1,0,1
325,10.800,1,0,1
326,10.833,1,0,1
327,10.867,1,0,1
328,10.900,2,0,1
329,10.933,2,0,1
330,10.967,1,0,1
331,11.000,1,0,1
332,11.033,1,0,1
333,11.067,1,0,1
334,11.100,1,0,1
335,11.133,0,1,0
336,11.167,0,1,0
337,11.200,2,1,0
338,11.233,1,1,0
339,11.267,0,1,0
340,11.300,1,0,1
341,11.333,1,0,1
342,11.367,2,0,1
343,11.400,0,1,0
344,11.433,0,1,0
345,11.467,1,0,1
346,11.500,1,0,1
347,11.533,1,0,1
348,11.567,0,1,0
349,11.600,0,0,0
350,11.633,0,0,0
351,11.667,0,0,0
352,11.700,0,0,0
353,11.733,0,0,0
354,11.767,1,0,1
355,11.800,2,0,1
356,11.833,1,0,1
357,11.867,1,0,1
358,11.900,1,0,1
359,11.933,1,0,1
360,11.967,1,0,1
361,12.000,2,0,1
362,12.033,2,0,1
363,12.067,2,0,1
364,12.100,1,0,1
365,12.133,0,0,0
366,12.167,0,1,0
367,12.200,0,0,0
368,12.233,0,0,0
369,12.267,0,0,0
370,12.300,0,1,0
371,12.333,1,0,1
372,12.367,0,0,0
373,12.400,0,0,0
374,12.433,0,0,0
375,12.467,0,0,0
376,12.500,1,0,1
377,12.533,2,0,1
378,12.567,0,0,0
379,12.600,0,0,0
380,12.633,0,0,0
381,12.667,0,0,0
382,12.700,0,0,0
383,12.733,1,0,1
384,12.767,0,0,0
385,12.800,0,0,0
386,12.833,1,0,1
387,12.867,1,0,1
388,12.900,1,0,1
389,12.933,1,0,1
390,12.967,2,0,1
391,13.000,1,0,1
392,13.033,1,0,1
393,13.067,2,0,1
394,13.100,2,1,0
395,13.133,3,0,1
396,13.167,3,0,1
397,13.200,0,0,0
398,13.233,1,2,0
399,13.267,5,0,1
400,13.300,3,0,1
401,13.333,3,0,1
402,13.367,3,0,1
403,13.400,2,0,1
404,13.433,2,0,1
405,13.467,3,0,1
406,13.500,1,0,1
407,13.533,1,0,1
408,13.567,2,0,1
409,13.600,1,0,1
410,13.633,1,0,1
411,13.667,3,0,1
412,13.700,2,0,1
413,13.733,1,0,1
