frame,czas_s,kury,nie_kury,drzwi
265,8.824,3,2,0
266,8.857,1,2,0
267,8.890,2,2,0
268,8.924,1,1,0
269,8.957,1,1,0
270,8.991,1,1,0
271,9.024,1,2,0
272,9.057,4,1,0
273,9.091,2,1,0
274,9.124,4,2,0
275,9.158,5,2,0
276,9.191,6,1,0
277,9.225,3,3,0
278,9.258,2,2,0
279,9.291,0,2,0
280,9.325,1,2,0
281,9.358,2,1,0
282,9.392,3,0,1
283,9.425,3,0,1
284,9.459,4,2,0
285,9.492,4,1,0
286,9.525,4,2,0
287,9.559,2,2,0
288,9.592,3,2,0
289,9.626,3,2,0
290,9.659,2,1,0
291,9.693,2,1,0
292,9.726,3,2,0
293,9.759,3,2,0
294,9.793,3,1,0
295,9.826,2,1,0
296,9.860,3,1,0
297,9.893,3,2,0
298,9.926,3,1,0
299,9.960,2,3,0
300,9.993,2,2,0
301,10.027,3,2,0
302,10.060,2,1,0
303,10.094,2,0,1
304,10.127,2,2,0
305,10.160,2,1,0
306,10.194,3,1,0
307,10.227,2,0,1
308,10.261,2,0,1
309,10.294,2,1,0
310,10.328,0,1,0
311,10.361,0,1,0
312,10.394,0,1,0
313,10.428,0,2,0
314,10.461,0,2,0
315,10.495,0,1,0
316,10.528,1,2,0
317,10.561,1,2,0
318,10.595,1,0,1
319,10.628,2,0,1
320,10.662,1,1,0
321,10.695,0,2,0
322,10.729,0,2,0
323,10.762,0,0,0
324,10.795,1,0,1
325,10.829,0,0,0
326,10.862,0,0,0
327,10.896,0,1,0
328,10.929,0,0,0
329,10.963,0,0,0
330,10.996,0,0,0
331,11.029,0,0,0
332,11.063,0,1,0
333,11.096,0,0,0
334,11.130,0,0,0
335,11.163,0,0,0
336,11.197,0,0,0
337,11.230,0,0,0
338,11.263,0,1,0
339,11.297,0,1,0
340,11.330,0,1,0
341,11.364,0,0,0
342,11.397,0,0,0
343,11.430,0,0,0
344,11.464,0,0,0
345,11.497,0,0,0
346,11.531,0,0,0
347,11.564,0,0,0
348,11.598,0,0,0
349,11.631,0,1,0
350,11.664,0,1,0
351,11.698,0,0,0
352,11.731,0,0,0
353,11.765,0,0,0
354,11.798,0,0,0
355,11.832,0,0,0
356,11.865,0,0,0
357,11.898,0,0,0
358,11.932,0,0,0
359,11.965,0,0,0
360,11.999,0,0,0
361,12.032,0,0,0
362,12.065,0,0,0
363,12.099,0,0,0
364,12.132,0,0,0
365,12.166,0,0,0
366,12.199,0,0,0
367,12.233,0,0,0
368,12.266,1,0,1
369,12.299,0,0,0
370,12.333,0,0,0
371,12.366,0,0,0
372,12.400,0,0,0
373,12.433,0,1,0
374,12.467,0,1,0
375,12.500,0,0,0
376,12.533,0,0,0
377,12.567,0,0,0
378,12.600,0,1,0
379,12.634,0,1,0
380,12.667,0,1,0
381,12.701,0,1,0
382,12.734,0,1,0
383,12.767,0,1,0
384,12.801,0,1,0
385,12.834,0,1,0
386,12.868,0,1,0
387,12.901,0,1,0
388,12.934,0,1,0
389,12.968,0,2,0
390,13.001,0,2,0
391,13.035,0,1,0
392,13.068,0,1,0
393,13.102,0,2,0
394,13.135,0,1,0
395,13.168,0,2,0
396,13.202,0,1,0
397,13.235,0,2,0
398,13.269,0,1,0
399,13.302,0,1,0
400,13.336,0,1,0
401,13.369,0,1,0
402,13.402,0,1,0
403,13.436,0,1,0
404,13.469,0,1,0
405,13.503,0,1,0
406,13.536,0,1,0
407,13.570,0,1,0
408,13.603,0,1,0
409,13.636,0,1,0
410,13.670,0,1,0
411,13.703,0,1,0
412,13.737,0,1,0
413,13.770,0,1,0
414,13.803,0,1,0
415,13.837,0,1,0
