sekunda,liczba_klatek,suma_wykrytych_kur,suma_wykrytych_nie_kur,klatki_otwarte,klatki_zamkniete
0,30,55,6,22,8
1,30,86,4,26,4
2,30,81,0,30,0
3,30,98,1,29,1
4,30,90,0,30,0
5,30,95,3,27,3
6,30,76,18,13,17
7,30,84,5,25,5
8,30,77,7,23,7
9,30,129,2,28,2
10,30,48,5,19,11
11,30,0,6,0,30
12,29,5,11,5,24
13,30,3,31,0,30
14,30,0,30,0,30
15,30,0,31,0,30
16,30,8,4,7,23
17,30,0,0,0,30
18,30,8,11,3,27
19,30,0,18,0,30
20,30,7,16,3,27
21,4,5,0,4,0
