frame,czas_s,kury,nie_kury,drzwi
232,7.721,3,0,1
233,7.754,2,0,1
234,7.787,3,1,0
235,7.821,3,0,1
236,7.854,3,0,1
237,7.888,3,0,1
238,7.921,2,1,0
239,7.955,2,1,0
240,7.988,2,1,0
241,8.021,2,1,0
242,8.055,1,1,0
243,8.088,2,0,1
244,8.122,3,0,1
245,8.155,3,0,1
246,8.188,2,0,1
247,8.222,2,0,1
248,8.255,2,0,1
249,8.289,3,0,1
250,8.322,3,0,1
251,8.356,3,0,1
252,8.389,3,0,1
253,8.422,3,0,1
254,8.456,2,0,1
255,8.489,2,1,0
256,8.523,2,1,0
257,8.556,3,0,1
258,8.590,3,0,1
259,8.623,2,0,1
260,8.656,2,0,1
261,8.690,3,0,1
262,8.723,2,1,0
263,8.757,3,1,0
264,8.790,4,0,1
265,8.824,5,0,1
266,8.857,3,0,1
267,8.890,3,1,0
268,8.924,2,0,1
269,8.957,2,0,1
270,8.991,2,0,1
271,9.024,3,0,1
272,9.057,5,0,1
273,9.091,3,0,1
274,9.124,6,0,1
275,9.158,7,0,1
276,9.191,7,0,1
277,9.225,6,0,1
278,9.258,3,1,0
279,9.291,2,0,1
280,9.325,3,0,1
281,9.358,3,0,1
282,9.392,3,0,1
283,9.425,3,0,1
284,9.459,6,0,1
285,9.492,5,0,1
286,9.525,5,1,0
287,9.559,4,0,1
288,9.592,5,0,1
289,9.626,5,0,1
290,9.659,3,0,1
291,9.693,3,0,1
292,9.726,5,0,1
293,9.759,5,0,1
294,9.793,4,0,1
295,9.826,3,0,1
296,9.860,4,0,1
297,9.893,5,0,1
298,9.926,4,0,1
299,9.960,5,0,1
300,9.993,4,0,1
301,10.027,5,0,1
302,10.060,3,0,1
303,10.094,2,0,1
304,10.127,4,0,1
305,10.160,3,0,1
306,10.194,4,0,1
307,10.227,2,0,1
308,10.261,2,0,1
309,10.294,3,0,1
310,10.328,1,0,1
311,10.361,1,0,1
312,10.394,1,0,1
313,10.428,2,0,1
314,10.461,2,0,1
315,10.495,1,0,1
316,10.528,2,1,0
317,10.561,2,1,0
318,10.595,1,0,1
319,10.628,2,0,1
320,10.662,2,0,1
321,10.695,1,1,0
322,10.729,1,1,0
323,10.762,0,0,0
324,10.795,1,0,1
325,10.829,0,0,0
326,10.862,0,0,0
327,10.896,0,1,0
328,10.929,0,0,0
329,10.963,0,0,0
330,10.996,0,0,0
331,11.029,0,0,0
332,11.063,0,1,0
333,11.096,0,0,0
334,11.130,0,0,0
335,11.163,0,0,0
336,11.197,0,0,0
337,11.230,0,0,0
338,11.263,0,1,0
339,11.297,0,1,0
340,11.330,0,1,0
341,11.364,0,0,0
342,11.397,0,0,0
343,11.430,0,0,0
344,11.464,0,0,0
345,11.497,0,0,0
346,11.531,0,0,0
347,11.564,0,0,0
348,11.598,0,0,0
349,11.631,0,1,0
350,11.664,0,1,0
351,11.698,0,0,0
352,11.731,0,0,0
353,11.765,0,0,0
354,11.798,0,0,0
355,11.832,0,0,0
356,11.865,0,0,0
357,11.898,0,0,0
358,11.932,0,0,0
359,11.965,0,0,0
360,11.999,0,0,0
361,12.032,0,0,0
362,12.065,0,0,0
363,12.099,0,0,0
364,12.132,0,0,0
365,12.166,0,0,0
366,12.199,0,0,0
367,12.233,0,0,0
368,12.266,1,0,1
369,12.299,0,0,0
370,12.333,0,0,0
371,12.366,0,0,0
372,12.400,0,0,0
373,12.433,0,1,0
374,12.467,0,1,0
375,12.500,0,0,0
376,12.533,0,0,0
377,12.567,0,0,0
378,12.600,1,0,1
379,12.634,1,0,1
380,12.667,1,0,1
381,12.701,1,0,1
382,12.734,0,1,0
383,12.767,0,1,0
384,12.801,0,1,0
385,12.834,0,1,0
386,12.868,0,1,0
387,12.901,0,1,0
388,12.934,0,1,0
389,12.968,0,2,0
390,13.001,0,2,0
391,13.035,0,1,0
392,13.068,0,1,0
393,13.102,1,1,0
394,13.135,0,1,0
395,13.168,1,1,0
396,13.202,0,1,0
397,13.235,1,1,0
398,13.269,0,1,0
399,13.302,0,1,0
400,13.336,0,1,0
401,13.369,0,1,0
402,13.402,0,1,0
403,13.436,0,1,0
404,13.469,0,1,0
405,13.503,0,1,0
406,13.536,0,1,0
407,13.570,0,1,0
408,13.603,0,1,0
409,13.636,0,1,0
410,13.670,0,1,0
411,13.703,0,1,0
412,13.737,0,1,0
413,13.770,0,1,0
414,13.803,0,1,0
415,13.837,0,1,0
416,13.870,0,1,0
417,13.904,0,1,0
418,13.937,0,1,0
419,13.971,0,1,0
420,14.004,0,1,0
421,14.037,0,1,0
422,14.071,0,1,0
423,14.104,0,1,0
424,14.138,0,1,0
425,14.171,0,1,0
426,14.205,0,1,0
427,14.238,0,1,0
428,14.271,0,1,0
429,14.305,0,1,0
430,14.338,0,1,0
431,14.372,0,1,0
432,14.405,0,1,0
433,14.438,0,1,0
434,14.472,0,1,0
435,14.505,0,1,0
436,14.539,0,1,0
437,14.572,0,1,0
438,14.606,0,1,0
439,14.639,0,1,0
440,14.672,0,1,0
441,14.706,0,1,0
442,14.739,0,1,0
443,14.773,0,1,0
444,14.806,0,1,0
445,14.840,0,1,0
446,14.873,0,1,0
447,14.906,0,1,0
448,14.940,0,1,0
449,14.973,0,1,0
450,15.007,0,1,0
451,15.040,0,1,0
452,15.074,0,1,0
453,15.107,0,1,0
454,15.140,0,1,0
455,15.174,0,1,0
456,15.207,0,1,0
457,15.241,0,1,0
458,15.274,0,1,0
459,15.307,0,1,0
460,15.341,0,1,0
461,15.374,0,1,0
462,15.408,0,1,0
463,15.441,0,1,0
464,15.475,0,1,0
465,15.508,0,1,0
466,15.541,0,1,0
467,15.575,0,1,0
468,15.608,0,1,0
469,15.642,0,1,0
470,15.675,0,1,0
471,15.709,0,1,0
472,15.742,0,1,0
473,15.775,0,1,0
474,15.809,0,1,0
475,15.842,0,2,0
476,15.876,0,1,0
477,15.909,0,1,0
478,15.942,0,1,0
479,15.976,0,1,0
480,16.009,1,1,0
481,16.043,0,0,0
482,16.076,0,1,0
483,16.110,0,1,0
484,16.143,0,1,0
485,16.176,0,0,0
486,16.210,0,0,0
487,16.243,0,0,0
488,16.277,0,0,0
489,16.310,0,0,0
490,16.344,0,0,0
491,16.377,0,0,0
492,16.410,0,0,0
493,16.444,0,0,0
494,16.477,0,0,0
495,16.511,0,0,0
496,16.544,1,0,1
497,16.578,1,0,1
498,16.611,1,0,1
499,16.644,0,0,0
500,16.678,0,0,0
501,16.711,1,0,1
502,16.745,0,0,0
503,16.778,0,0,0
504,16.811,1,0,1
505,16.845,1,0,1
506,16.878,1,0,1
507,16.912,0,0,0
508,16.945,0,0,0
509,16.979,0,0,0
510,17.012,0,0,0
511,17.045,0,0,0
512,17.079,0,0,0
513,17.112,0,0,0
514,17.146,0,0,0
515,17.179,0,0,0
516,17.213,0,0,0
517,17.246,0,0,0
518,17.279,0,0,0
519,17.313,0,0,0
520,17.346,0,0,0
521,17.380,0,0,0
522,17.413,0,0,0
523,17.447,0,0,0
524,17.480,0,0,0
525,17.513,0,0,0
526,17.547,0,0,0
527,17.580,0,0,0
528,17.614,0,0,0
529,17.647,0,0,0
530,17.680,0,0,0
531,17.714,0,0,0
532,17.747,0,0,0
533,17.781,0,0,0
534,17.814,0,0,0
535,17.848,0,0,0
536,17.881,0,0,0
537,17.914,0,0,0
538,17.948,0,0,0
539,17.981,0,0,0
540,18.015,0,0,0
541,18.048,0,0,0
542,18.082,0,0,0
543,18.115,0,0,0
544,18.148,0,0,0
545,18.182,0,0,0
546,18.215,0,0,0
547,18.249,0,0,0
548,18.282,0,0,0
549,18.315,0,0,0
550,18.349,0,0,0
551,18.382,0,0,0
552,18.416,1,0,1
553,18.449,1,0,1
554,18.483,0,0,0
555,18.516,0,0,0
556,18.549,0,0,0
557,18.583,0,0,0
558,18.616,0,0,0
559,18.650,1,1,0
560,18.683,1,1,0
561,18.717,0,1,0
562,18.750,1,2,0
563,18.783,1,1,0
564,18.817,0,1,0
565,18.850,0,1,0
566,18.884,1,1,0
567,18.917,0,1,0
568,18.951,0,1,0
569,18.984,1,0,1
570,19.017,0,0,0
571,19.051,0,0,0
572,19.084,0,0,0
573,19.118,0,1,0
574,19.151,0,1,0
575,19.184,0,1,0
576,19.218,0,3,0
577,19.251,0,3,0
578,19.285,0,2,0
579,19.318,0,2,0
580,19.352,0,2,0
581,19.385,0,2,0
582,19.418,0,0,0
583,19.452,0,0,0
584,19.485,0,0,0
585,19.519,0,0,0
586,19.552,0,0,0
587,19.586,0,0,0
588,19.619,0,0,0
589,19.652,0,0,0
590,19.686,0,0,0
591,19.719,0,0,0
592,19.753,0,0,0
593,19.786,0,0,0
594,19.819,0,0,0
595,19.853,0,0,0
596,19.886,0,0,0
597,19.920,0,1,0
598,19.953,0,0,0
599,19.987,0,0,0
600,20.020,0,1,0
601,20.053,0,1,0
602,20.087,0,1,0
603,20.120,0,1,0
604,20.154,0,0,0
605,20.187,0,0,0
606,20.221,0,0,0
607,20.254,0,0,0
608,20.287,0,0,0
609,20.321,0,1,0
610,20.354,0,1,0
611,20.388,0,1,0
612,20.421,0,0,0
613,20.455,0,0,0
614,20.488,0,0,0
615,20.521,0,0,0
616,20.555,0,0,0
617,20.588,0,0,0
618,20.622,0,0,0
619,20.655,1,1,0
620,20.688,1,1,0
621,20.722,0,1,0
622,20.755,0,1,0
623,20.789,0,1,0
624,20.822,0,1,0
625,20.856,0,2,0
626,20.889,0,1,0
627,20.922,2,0,1
628,20.956,2,0,1
629,20.989,1,0,1
630,21.023,1,0,1
631,21.056,1,0,1
632,21.090,1,0,1
633,21.123,2,0,1
