epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2506.71,0.79245,0.83658,1.27752,0.89657,0.77409,0.86064,0.69343,0.69778,0.62725,1.16217,0.000990365,0.000990365,0.000990365
43,2566.14,0.7854,0.82686,1.26784,0.86394,0.79071,0.85792,0.69619,0.69517,0.62551,1.16544,0.000973861,0.000973861,0.000973861
44,2625.66,0.78169,0.794,1.26415,0.86862,0.78409,0.8531,0.69586,0.68186,0.63078,1.15449,0.000957358,0.000957358,0.000957358
45,2685.06,0.76423,0.79355,1.25534,0.88658,0.77148,0.86401,0.70209,0.67767,0.61393,1.1506,0.000940855,0.000940855,0.000940855
46,2744.62,0.77901,0.79875,1.26356,0.88418,0.76691,0.85794,0.68568,0.69235,0.63452,1.17272,0.000924352,0.000924352,0.000924352
47,2804,0.75111,0.77545,1.23964,0.89045,0.77456,0.86293,0.70428,0.67406,0.62801,1.14614,0.000907848,0.000907848,0.000907848
48,2863.44,0.75168,0.77745,1.24126,0.89134,0.76751,0.86265,0.70551,0.67091,0.61543,1.15628,0.000891345,0.000891345,0.000891345
49,2922.98,0.7677,0.79834,1.25386,0.8838,0.77773,0.87101,0.71424,0.66247,0.59855,1.14319,0.000874842,0.000874842,0.000874842
50,2982.37,0.73266,0.74894,1.22884,0.90167,0.77071,0.86223,0.70775,0.65791,0.60502,1.13555,0.000858338,0.000858338,0.000858338
51,3041.82,0.73089,0.75965,1.22757,0.87631,0.79226,0.87029,0.72023,0.64974,0.59619,1.12916,0.000841835,0.000841835,0.000841835
52,3101.45,0.72887,0.74951,1.22596,0.90313,0.79292,0.87562,0.71899,0.65105,0.58286,1.13478,0.000825332,0.000825332,0.000825332
53,3161.2,0.72553,0.74599,1.231,0.87748,0.79189,0.86579,0.72022,0.63724,0.59129,1.11503,0.000808828,0.000808828,0.000808828
54,3220.61,0.73509,0.74455,1.22941,0.89655,0.77346,0.86775,0.71492,0.65217,0.59555,1.14009,0.000792325,0.000792325,0.000792325
55,3280.47,0.72664,0.74342,1.22021,0.89289,0.78122,0.87471,0.7249,0.62434,0.57715,1.10026,0.000775822,0.000775822,0.000775822
56,3340.47,0.70663,0.7193,1.21012,0.87535,0.80318,0.87099,0.72036,0.64241,0.57602,1.13027,0.000759318,0.000759318,0.000759318
57,3399.94,0.70297,0.70965,1.20387,0.89036,0.80081,0.87311,0.72076,0.64125,0.5863,1.12495,0.000742815,0.000742815,0.000742815
58,3459.47,0.71081,0.72288,1.20649,0.89432,0.79658,0.878,0.72447,0.63989,0.557,1.13263,0.000726312,0.000726312,0.000726312
59,3519.05,0.70345,0.71463,1.20404,0.90775,0.77398,0.86989,0.71518,0.64671,0.58978,1.141,0.000709809,0.000709809,0.000709809
60,3578.75,0.6936,0.7039,1.19724,0.87083,0.80963,0.87307,0.71995,0.64764,0.57479,1.13679,0.000693305,0.000693305,0.000693305
61,3638.25,0.69632,0.69346,1.19407,0.88761,0.78858,0.86176,0.7148,0.63824,0.58854,1.12822,0.000676802,0.000676802,0.000676802
62,3697.69,0.69063,0.70033,1.18692,0.87839,0.80683,0.8766,0.72739,0.6292,0.56044,1.12473,0.000660299,0.000660299,0.000660299
63,3757.27,0.67001,0.67369,1.18017,0.87663,0.80503,0.8662,0.71637,0.63411,0.56796,1.12539,0.000643795,0.000643795,0.000643795
64,3816.64,0.66665,0.66771,1.17684,0.87286,0.8007,0.8715,0.7244,0.62096,0.5727,1.11534,0.000627292,0.000627292,0.000627292
65,3875.97,0.65724,0.65862,1.17327,0.90869,0.77753,0.87355,0.7289,0.61854,0.56785,1.11477,0.000610789,0.000610789,0.000610789
66,3935.44,0.6743,0.66084,1.18052,0.91487,0.77992,0.87379,0.72807,0.62039,0.56372,1.11971,0.000594286,0.000594286,0.000594286
67,3994.97,0.67078,0.66597,1.18545,0.87972,0.80106,0.87004,0.72706,0.63086,0.58196,1.1269,0.000577782,0.000577782,0.000577782
68,4054.52,0.65732,0.6334,1.16818,0.8718,0.80735,0.8701,0.72213,0.6294,0.56964,1.1205,0.000561279,0.000561279,0.000561279
69,4113.93,0.65214,0.64843,1.16386,0.88595,0.78661,0.86527,0.7209,0.62349,0.57187,1.12033,0.000544776,0.000544776,0.000544776
70,4173.55,0.64487,0.63696,1.15533,0.89526,0.78185,0.87275,0.7289,0.61532,0.5705,1.10957,0.000528272,0.000528272,0.000528272
71,4233.12,0.64205,0.63164,1.16054,0.87074,0.8072,0.86736,0.72917,0.62078,0.55281,1.11509,0.000511769,0.000511769,0.000511769
72,4292.62,0.64065,0.6243,1.14944,0.88094,0.79167,0.86299,0.72594,0.6035,0.57503,1.10957,0.000495266,0.000495266,0.000495266
73,4351.8,0.62474,0.61138,1.14446,0.89438,0.78566,0.87382,0.7305,0.61517,0.5566,1.12414,0.000478762,0.000478762,0.000478762
74,4411.23,0.64759,0.64864,1.16119,0.90037,0.77006,0.86384,0.7259,0.62039,0.56653,1.12471,0.000462259,0.000462259,0.000462259
75,4470.52,0.64123,0.63587,1.16227,0.88836,0.78716,0.87302,0.73534,0.6003,0.55597,1.10367,0.000445756,0.000445756,0.000445756
76,4530.02,0.63325,0.60054,1.15185,0.87042,0.79785,0.8661,0.72219,0.60662,0.56962,1.11842,0.000429253,0.000429253,0.000429253
77,4589.5,0.62192,0.60402,1.14602,0.87431,0.79226,0.86483,0.72621,0.60421,0.57677,1.11197,0.000412749,0.000412749,0.000412749
78,4648.94,0.62993,0.6209,1.14805,0.88294,0.7917,0.86476,0.72903,0.61197,0.5528,1.1235,0.000396246,0.000396246,0.000396246
79,4708.28,0.6176,0.59984,1.13834,0.85967,0.80856,0.86722,0.73103,0.60092,0.56044,1.12025,0.000379743,0.000379743,0.000379743
80,4767.57,0.6074,0.58203,1.12903,0.88058,0.78894,0.85956,0.72268,0.60968,0.56696,1.12836,0.000363239,0.000363239,0.000363239
81,4827.05,0.60898,0.57199,1.13314,0.90072,0.78541,0.86663,0.73065,0.60935,0.55433,1.11987,0.000346736,0.000346736,0.000346736
82,4886.4,0.6043,0.57309,1.12884,0.88908,0.79713,0.86742,0.72971,0.60865,0.54822,1.13153,0.000330233,0.000330233,0.000330233
83,4945.63,0.5917,0.5558,1.11916,0.87924,0.79533,0.86433,0.72982,0.60513,0.55843,1.12067,0.000313729,0.000313729,0.000313729
84,5005.05,0.60795,0.58196,1.13155,0.87757,0.79873,0.86851,0.7315,0.59866,0.54439,1.11886,0.000297226,0.000297226,0.000297226
85,5064.44,0.59702,0.56615,1.12323,0.90073,0.77967,0.86173,0.7246,0.60718,0.54796,1.13212,0.000280723,0.000280723,0.000280723
86,5123.83,0.58157,0.55592,1.11245,0.87098,0.8007,0.86583,0.73097,0.59584,0.55207,1.11504,0.00026422,0.00026422,0.00026422
87,5182.9,0.59307,0.56276,1.11972,0.88854,0.79307,0.85894,0.72798,0.59788,0.55774,1.11414,0.000247716,0.000247716,0.000247716
88,5242.35,0.57451,0.5474,1.10728,0.89863,0.78205,0.85866,0.72895,0.59722,0.56265,1.11809,0.000231213,0.000231213,0.000231213
89,5301.81,0.57499,0.54135,1.10149,0.88761,0.79049,0.85758,0.72642,0.60252,0.5527,1.12539,0.00021471,0.00021471,0.00021471
90,5361.08,0.57736,0.53924,1.11055,0.90911,0.78051,0.86059,0.72886,0.59926,0.5522,1.11889,0.000198206,0.000198206,0.000198206
91,5446.87,0.44687,0.37453,0.98751,0.86304,0.81329,0.86256,0.72926,0.5925,0.55964,1.11166,0.000181703,0.000181703,0.000181703
92,5506.25,0.43329,0.36258,0.97812,0.86542,0.80203,0.85927,0.72677,0.59571,0.56707,1.11653,0.0001652,0.0001652,0.0001652
93,5565.83,0.42918,0.3502,0.96968,0.90937,0.7738,0.85728,0.72204,0.59478,0.57409,1.11883,0.000148696,0.000148696,0.000148696
94,5624.92,0.4279,0.35691,0.97193,0.90301,0.78015,0.86001,0.72567,0.58924,0.57063,1.11654,0.000132193,0.000132193,0.000132193
95,5684.2,0.41831,0.34656,0.96555,0.88138,0.80131,0.86133,0.7299,0.58392,0.56811,1.11379,0.00011569,0.00011569,0.00011569
