epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2497.93,0.62034,0.61267,1.13878,0.89968,0.79309,0.87053,0.71115,0.65537,0.59495,1.13672,0.000990365,0.000990365,0.000990365
43,2557.8,0.63289,0.60874,1.14261,0.89469,0.78299,0.86221,0.70452,0.66665,0.61632,1.16113,0.000973861,0.000973861,0.000973861
44,2617.59,0.60742,0.58801,1.13115,0.88496,0.78536,0.85798,0.70631,0.65899,0.59759,1.15054,0.000957358,0.000957358,0.000957358
45,2677.5,0.6142,0.60149,1.13444,0.89497,0.77362,0.85513,0.70148,0.65771,0.61656,1.14689,0.000940855,0.000940855,0.000940855
46,2737.54,0.59487,0.57346,1.11843,0.88295,0.78052,0.86701,0.71704,0.64889,0.60935,1.1417,0.000924352,0.000924352,0.000924352
47,2795.5,0.58719,0.5735,1.11449,0.90118,0.76981,0.86347,0.70878,0.65428,0.59582,1.1449,0.000907848,0.000907848,0.000907848
48,2853.09,0.58986,0.56922,1.1136,0.88886,0.7885,0.86482,0.71364,0.64258,0.59822,1.14406,0.000891345,0.000891345,0.000891345
49,2910.71,0.58672,0.56593,1.11933,0.90881,0.77701,0.86829,0.72295,0.63676,0.57427,1.13557,0.000874842,0.000874842,0.000874842
50,2967.79,0.58856,0.56248,1.1136,0.8721,0.80743,0.86318,0.71557,0.65269,0.57835,1.15126,0.000858338,0.000858338,0.000858338
51,3025.3,0.56909,0.55462,1.10024,0.89533,0.78277,0.86338,0.71387,0.65789,0.5813,1.15838,0.000841835,0.000841835,0.000841835
52,3082.51,0.57875,0.54758,1.11274,0.85236,0.81849,0.87178,0.72311,0.62624,0.56308,1.12614,0.000825332,0.000825332,0.000825332
53,3139.97,0.56802,0.53669,1.10597,0.87937,0.79238,0.86306,0.72109,0.62554,0.57336,1.12411,0.000808828,0.000808828,0.000808828
54,3197.49,0.55998,0.52232,1.09078,0.90649,0.7792,0.86108,0.71645,0.62361,0.55795,1.13254,0.000792325,0.000792325,0.000792325
55,3255.03,0.55848,0.53099,1.09564,0.90839,0.7821,0.86475,0.72291,0.63064,0.57429,1.13582,0.000775822,0.000775822,0.000775822
56,3312.57,0.56431,0.54425,1.10036,0.89441,0.78692,0.86283,0.71872,0.62034,0.58087,1.12196,0.000759318,0.000759318,0.000759318
57,3370.08,0.55252,0.51624,1.08273,0.89514,0.79596,0.86956,0.72152,0.63713,0.56362,1.14512,0.000742815,0.000742815,0.000742815
58,3427.56,0.52882,0.49425,1.07296,0.87896,0.8045,0.86755,0.72872,0.61409,0.54902,1.1257,0.000726312,0.000726312,0.000726312
59,3485.2,0.5469,0.51135,1.08565,0.88971,0.78293,0.8574,0.71642,0.61644,0.58892,1.13432,0.000709809,0.000709809,0.000709809
60,3542.62,0.53529,0.5011,1.07042,0.8991,0.79206,0.86978,0.73043,0.61165,0.57065,1.12079,0.000693305,0.000693305,0.000693305
61,3600.24,0.53868,0.49859,1.07599,0.89454,0.79051,0.86425,0.72502,0.61453,0.55892,1.13523,0.000676802,0.000676802,0.000676802
62,3657.47,0.53047,0.49604,1.06675,0.88117,0.7988,0.86343,0.73099,0.59702,0.55161,1.12412,0.000660299,0.000660299,0.000660299
63,3714.39,0.51862,0.48971,1.06409,0.899,0.78313,0.85631,0.7216,0.61132,0.56917,1.12571,0.000643795,0.000643795,0.000643795
64,3771.59,0.50635,0.46971,1.05325,0.88745,0.80671,0.86663,0.72919,0.61112,0.55941,1.13398,0.000627292,0.000627292,0.000627292
65,3828.92,0.52176,0.48581,1.06698,0.87659,0.80578,0.86584,0.72567,0.61042,0.54835,1.13128,0.000610789,0.000610789,0.000610789
66,3885.91,0.50122,0.47126,1.05581,0.89399,0.78882,0.85423,0.71737,0.61364,0.57416,1.14067,0.000594286,0.000594286,0.000594286
67,3942.73,0.50402,0.47112,1.05922,0.90044,0.79747,0.8678,0.72737,0.60576,0.54923,1.13624,0.000577782,0.000577782,0.000577782
