epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1432,1.28542,1.59496,1.58789,0.49985,0.45374,0.44763,0.24441,1.58536,2.97178,1.94925,0.000553496,0.000553496,0.000553496
2,118.341,1.39236,1.54367,1.68333,0.43895,0.3956,0.35975,0.17637,1.96879,3.6165,2.17016,0.00109818,0.00109818,0.00109818
3,176.176,1.41469,1.58863,1.71176,0.75188,0.58207,0.6597,0.34867,1.58088,1.54464,1.89474,0.00163187,0.00163187,0.00163187
4,233.82,1.3494,1.48265,1.65251,0.70774,0.54327,0.5994,0.29303,1.71337,1.7277,2.08502,0.00161749,0.00161749,0.00161749
5,291.24,1.29472,1.39969,1.61781,0.78582,0.64392,0.7289,0.38748,1.58048,1.31427,1.86664,0.00160099,0.00160099,0.00160099
6,348.89,1.25942,1.32304,1.58488,0.79473,0.62713,0.71724,0.40761,1.45471,1.3238,1.78324,0.00158448,0.00158448,0.00158448
7,406.438,1.22287,1.27304,1.56313,0.82254,0.66359,0.76994,0.46274,1.37489,1.14828,1.70219,0.00156798,0.00156798,0.00156798
8,463.854,1.19526,1.22035,1.53163,0.80164,0.65391,0.74225,0.45273,1.30501,1.18425,1.64134,0.00155148,0.00155148,0.00155148
9,521.158,1.16492,1.18174,1.51059,0.74642,0.63798,0.71802,0.47801,1.12921,1.19087,1.50044,0.00153497,0.00153497,0.00153497
10,578.464,1.15013,1.16212,1.50241,0.84404,0.70094,0.81027,0.5466,1.10625,0.97407,1.4723,0.00151847,0.00151847,0.00151847
11,636.006,1.12612,1.11526,1.48202,0.81038,0.70702,0.79208,0.50871,1.2399,1.03216,1.58601,0.00150197,0.00150197,0.00150197
12,693.46,1.11039,1.08864,1.4679,0.87193,0.71676,0.81907,0.55325,1.11634,0.94398,1.51004,0.00148546,0.00148546,0.00148546
13,750.876,1.0943,1.07944,1.4606,0.83026,0.71943,0.8033,0.53613,1.13421,0.94633,1.5128,0.00146896,0.00146896,0.00146896
14,808.049,1.07792,1.04884,1.44983,0.84891,0.71283,0.81307,0.55735,1.05903,0.95561,1.47494,0.00145246,0.00145246,0.00145246
15,865.189,1.08067,1.04275,1.44726,0.86539,0.72607,0.82167,0.56556,1.05979,0.94863,1.44433,0.00143595,0.00143595,0.00143595
16,922.348,1.05746,1.01865,1.42988,0.86865,0.72921,0.81875,0.56807,1.04542,0.89842,1.41768,0.00141945,0.00141945,0.00141945
17,979.686,1.05792,0.99199,1.43273,0.79146,0.63778,0.71417,0.47907,1.1325,1.06664,1.53498,0.00140295,0.00140295,0.00140295
18,1036.96,1.03027,0.98218,1.41282,0.84374,0.74165,0.82406,0.59263,0.99399,0.88122,1.38782,0.00138644,0.00138644,0.00138644
19,1094.28,1.04298,0.98126,1.41371,0.85856,0.73221,0.8257,0.58333,1.0219,0.87663,1.42036,0.00136994,0.00136994,0.00136994
20,1151.51,1.02756,0.95165,1.4022,0.83217,0.76026,0.83524,0.60546,0.95108,0.82102,1.37504,0.00135344,0.00135344,0.00135344
21,1208.92,1.01641,0.92919,1.39199,0.86854,0.7598,0.8422,0.62393,0.8855,0.7791,1.32728,0.00133693,0.00133693,0.00133693
22,1266.38,1.0032,0.92498,1.38667,0.86378,0.75335,0.83908,0.62066,0.9062,0.78321,1.31896,0.00132043,0.00132043,0.00132043
23,1323.73,0.99004,0.91312,1.37163,0.89698,0.74092,0.84976,0.62468,0.92303,0.772,1.33588,0.00130393,0.00130393,0.00130393
24,1380.99,0.98588,0.93087,1.37792,0.87758,0.75154,0.84973,0.61515,0.95216,0.79549,1.3546,0.00128742,0.00128742,0.00128742
25,1438.2,0.97305,0.88629,1.36294,0.86369,0.76781,0.85046,0.61965,0.92487,0.78268,1.31398,0.00127092,0.00127092,0.00127092
26,1495.3,0.97435,0.88248,1.36221,0.8911,0.77524,0.86084,0.63838,0.89928,0.73757,1.30294,0.00125442,0.00125442,0.00125442
27,1552.63,0.95502,0.86811,1.35022,0.86128,0.76648,0.84744,0.63421,0.87358,0.74765,1.29528,0.00123791,0.00123791,0.00123791
28,1609.76,0.96032,0.87083,1.35573,0.90255,0.76992,0.86346,0.64963,0.87136,0.72323,1.30165,0.00122141,0.00122141,0.00122141
29,1667.15,0.94706,0.8571,1.345,0.90007,0.75978,0.86352,0.64148,0.89173,0.71776,1.27459,0.00120491,0.00120491,0.00120491
30,1724.32,0.93963,0.85079,1.33456,0.86713,0.76825,0.84252,0.63371,0.87359,0.74815,1.27989,0.0011884,0.0011884,0.0011884
31,1781.46,0.95162,0.84691,1.34784,0.90666,0.75126,0.85483,0.65254,0.83955,0.70482,1.27626,0.0011719,0.0011719,0.0011719
32,1838.83,0.9327,0.82766,1.32882,0.88927,0.77548,0.86196,0.65031,0.86677,0.72343,1.27991,0.0011554,0.0011554,0.0011554
33,1896.09,0.93126,0.83153,1.3326,0.87207,0.76142,0.85647,0.65239,0.82136,0.72765,1.269,0.00113889,0.00113889,0.00113889
34,1953.22,0.93201,0.82292,1.3286,0.88395,0.77149,0.85181,0.6578,0.81342,0.6988,1.26544,0.00112239,0.00112239,0.00112239
35,2010.48,0.91158,0.80734,1.31956,0.87236,0.78461,0.86015,0.65374,0.82399,0.68473,1.25111,0.00110589,0.00110589,0.00110589
36,2067.71,0.9085,0.81606,1.31341,0.86334,0.78377,0.86327,0.67065,0.79254,0.68927,1.23263,0.00108938,0.00108938,0.00108938
37,2125.12,0.90662,0.80583,1.30956,0.88118,0.79607,0.86958,0.67362,0.80434,0.67055,1.24099,0.00107288,0.00107288,0.00107288
38,2182.46,0.90189,0.79505,1.31592,0.89271,0.78934,0.87169,0.6738,0.81354,0.65543,1.2382,0.00105638,0.00105638,0.00105638
39,2239.9,0.88663,0.7862,1.2986,0.89076,0.77382,0.86823,0.67941,0.78411,0.67381,1.23937,0.00103987,0.00103987,0.00103987
40,2297.49,0.89113,0.78308,1.29849,0.89203,0.79623,0.87422,0.68682,0.77583,0.64582,1.24044,0.00102337,0.00102337,0.00102337
41,2355.11,0.86472,0.76247,1.28432,0.87743,0.79156,0.86299,0.67512,0.77792,0.67613,1.23041,0.00100687,0.00100687,0.00100687
42,2412.59,0.86462,0.76528,1.28134,0.87901,0.7798,0.85574,0.66642,0.79082,0.67527,1.23727,0.000990365,0.000990365,0.000990365
43,2469.87,0.8811,0.76787,1.29158,0.85332,0.78919,0.85495,0.67722,0.75994,0.66973,1.20924,0.000973861,0.000973861,0.000973861
44,2527.31,0.85894,0.75609,1.27617,0.88284,0.77937,0.86941,0.69379,0.73909,0.63385,1.19782,0.000957358,0.000957358,0.000957358
45,2584.79,0.8558,0.74749,1.26991,0.88954,0.78338,0.86224,0.68449,0.76619,0.63192,1.21629,0.000940855,0.000940855,0.000940855
46,2641.97,0.85485,0.75515,1.27874,0.88002,0.78408,0.86062,0.6833,0.76364,0.64521,1.20753,0.000924352,0.000924352,0.000924352
47,2699.24,0.83893,0.72029,1.26001,0.92004,0.77813,0.87217,0.68724,0.76876,0.61796,1.21165,0.000907848,0.000907848,0.000907848
48,2756.35,0.83195,0.72692,1.25452,0.89875,0.7929,0.86437,0.68436,0.76527,0.62776,1.19711,0.000891345,0.000891345,0.000891345
49,2813.56,0.8304,0.7253,1.25764,0.87493,0.80684,0.87416,0.69919,0.73983,0.6183,1.19297,0.000874842,0.000874842,0.000874842
50,2870.76,0.8248,0.70545,1.2521,0.8942,0.79773,0.86246,0.67932,0.77909,0.62699,1.21528,0.000858338,0.000858338,0.000858338
51,2927.9,0.82401,0.70062,1.24493,0.87707,0.80334,0.87455,0.69775,0.74693,0.61075,1.18226,0.000841835,0.000841835,0.000841835
52,2985.13,0.81532,0.70415,1.24625,0.90114,0.77266,0.86217,0.6853,0.75766,0.62636,1.20025,0.000825332,0.000825332,0.000825332
53,3042.48,0.80952,0.68867,1.23956,0.89748,0.79821,0.87237,0.69167,0.75922,0.61983,1.18768,0.000808828,0.000808828,0.000808828
54,3099.64,0.80943,0.68574,1.23931,0.87206,0.81103,0.87312,0.69085,0.75306,0.60581,1.18675,0.000792325,0.000792325,0.000792325
55,3156.95,0.79675,0.69224,1.23674,0.87076,0.80589,0.87147,0.70348,0.72704,0.60779,1.17354,0.000775822,0.000775822,0.000775822
56,3214.33,0.79047,0.67444,1.23361,0.89586,0.78602,0.86849,0.69568,0.7438,0.59331,1.17708,0.000759318,0.000759318,0.000759318
57,3271.48,0.79727,0.6757,1.23414,0.8959,0.80412,0.87259,0.70353,0.71954,0.60851,1.16812,0.000742815,0.000742815,0.000742815
58,3328.72,0.79002,0.67935,1.23355,0.86449,0.81157,0.86951,0.70533,0.71186,0.61434,1.16184,0.000726312,0.000726312,0.000726312
59,3386.07,0.7954,0.67371,1.22517,0.87948,0.79817,0.87624,0.69734,0.74046,0.59863,1.16779,0.000709809,0.000709809,0.000709809
60,3443.42,0.77219,0.66219,1.22196,0.89103,0.79254,0.87436,0.71127,0.69786,0.59097,1.15831,0.000693305,0.000693305,0.000693305
61,3500.91,0.78145,0.66179,1.22705,0.89932,0.78138,0.86975,0.69892,0.72888,0.60238,1.15496,0.000676802,0.000676802,0.000676802
62,3558.25,0.78264,0.66437,1.22093,0.88695,0.80046,0.87178,0.70583,0.69703,0.57267,1.1544,0.000660299,0.000660299,0.000660299
63,3615.65,0.77123,0.64397,1.21485,0.91026,0.78823,0.87261,0.70191,0.71942,0.58842,1.16769,0.000643795,0.000643795,0.000643795
64,3672.89,0.77493,0.65162,1.2181,0.89845,0.8025,0.87295,0.7058,0.70396,0.5991,1.1578,0.000627292,0.000627292,0.000627292
65,3730.21,0.75356,0.65044,1.2047,0.89836,0.79728,0.86836,0.70136,0.7102,0.60131,1.15866,0.000610789,0.000610789,0.000610789
66,3787.38,0.75585,0.63485,1.20777,0.91418,0.7825,0.86724,0.70377,0.70079,0.56956,1.15817,0.000594286,0.000594286,0.000594286
67,3844.5,0.75464,0.63284,1.20287,0.8945,0.80808,0.86826,0.70841,0.69323,0.58921,1.14831,0.000577782,0.000577782,0.000577782
68,3901.57,0.75557,0.64261,1.20426,0.89315,0.79869,0.86665,0.70321,0.70138,0.5848,1.15637,0.000561279,0.000561279,0.000561279
69,3958.75,0.73578,0.62436,1.19182,0.90154,0.79342,0.87036,0.71171,0.70723,0.58107,1.16106,0.000544776,0.000544776,0.000544776
70,4016.22,0.73888,0.61555,1.19122,0.91901,0.78699,0.87859,0.71212,0.70275,0.57291,1.16303,0.000528272,0.000528272,0.000528272
